State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",_lead_score,_signals
CA,757573,"1ST SOLUTION HOME HEALTH, INC.",1314 W GLENOAKS BLVD SUITE 106,GLENDALE,91201,8009139920,-,-,-,-,-,-,-,10/17/2023,2,-,40,50,80.00,-,15,49,30.61,-,38,46,84.92,-,44,46,94.77,-,34,46,66.54,-,26,42,63.51,-,35,46,76.58,-,0,46,0.00,-,40,50,80.00,-,1,50,2.00,-,23,46,50.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,46,46,100.00,-,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CO,067402,SUMMIT HOME HEALTH CARE,1160 LAKE PLAZA DR STE 255,COLORADO SPRINGS,80906,7195330084,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,06/24/1997,1,-,52,82,63.41,-,24,54,44.44,-,21,45,62.36,-,15,39,58.85,-,28,53,66.05,-,15,31,67.79,-,18,33,65.03,-,0,56,0.00,-,73,83,87.95,-,1,80,1.25,-,29,56,51.79,-,8,27,29.63,-,53,55,96.36,-,-,12,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,7,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,19,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CO,067600,A BETTER COLORADO HOME HEALTH CARE AGENCY LLC,126 W D ST,PUEBLO,81003,7199740520,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,07/07/2021,1.5,-,64,77,83.12,-,20,30,66.67,-,26,43,69.06,-,21,41,65.90,-,27,44,73.56,-,20,36,62.68,-,12,28,51.28,-,0,48,0.00,-,60,79,75.95,-,2,78,2.56,-,22,46,47.83,-,16,37,43.24,-,22,41,53.66,-,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CO,067622,STAR LIGHT HOME HEALTH,122 S PARK AVE,MONTROSE,81401,9704141650,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,08/02/2022,1.5,-,67,77,87.01,-,37,52,71.15,-,28,55,66.81,-,25,52,63.55,-,31,55,68.05,-,26,36,85.79,-,10,27,51.85,-,0,58,0.00,-,49,77,63.64,-,2,71,2.82,-,38,56,67.86,-,8,24,33.33,-,25,53,47.17,-,75,109,68.81,77.29,68.40,84.87,Same As National Rate,-,2,34,5.88,4.22,3.00,5.86,Same As National Rate,-,11,54,20.37,16.06,10.10,24.54,Same As National Rate,-,1.11,-,151,170,Low CMS star rating; Timely care performance gap; Quality performance concern
DC,097073,INTEGRATED COMMUNITY SERVICES INC,"820 FIRST STREET NE, SUITE 425",WASHINGTON,20002,2025061209,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,01/11/2017,2.5,-,15,49,30.61,-,38,49,77.55,-,20,29,86.20,-,22,29,90.20,-,21,30,81.02,-,14,22,79.90,-,14,26,77.84,-,0,30,0.00,-,50,56,89.29,-,0,55,0.00,-,22,30,73.33,-,15,40,37.50,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,1,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,107073,INDEPENDENT LIVING HOME HEALTH,7771 W OAKLAND PARK BLVD,SUNRISE,33351,7865322024,PROPRIETARY,Yes,Yes,Yes,No,Yes,Yes,07/01/1970,1.5,-,41,47,87.23,-,13,29,44.83,-,9,30,48.57,-,11,30,51.13,-,16,30,59.53,-,-,-,-,The number of patient episodes for this measure is too small to report.,15,22,78.00,-,0,35,0.00,-,39,47,82.98,-,1,45,2.22,-,18,34,52.94,-,-,-,-,The number of patient episodes for this measure is too small to report.,26,32,81.25,-,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,4,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,107667,DD HEALTH HOME CARE INC,4150 NW 7TH ST STE 208,MIAMI,33126,3056434747,PROPRIETARY,Yes,Yes,Yes,No,Yes,Yes,09/14/2001,1.5,-,56,64,87.50,-,1,41,2.44,-,14,43,58.72,-,7,41,49.16,-,13,46,44.90,-,6,23,45.90,-,6,42,39.50,-,0,52,0.00,-,54,64,84.38,-,1,64,1.56,-,28,46,60.87,-,47,49,95.92,-,-,-,-,The number of patient episodes for this measure is too small to report.,25,29,86.21,91.56,76.81,100.52,Same As National Rate,-,-,11,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,3,20,15.00,11.42,6.41,20.34,Same As National Rate,-,0.94,-,54,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,108330,PERFECT CARE HOME HEALTH AGENCY,14411 COMMERCE WAY STE 220,MIAMI LAKES,33016,3058233561,NON-PROFIT,Yes,Yes,Yes,Yes,No,Yes,07/21/2006,1.5,-,48,59,81.36,-,23,37,62.16,-,21,43,56.41,-,23,43,72.46,-,30,43,75.89,-,10,27,49.11,-,8,35,45.68,-,0,44,0.00,-,20,59,33.90,-,0,58,0.00,-,19,43,44.19,-,4,39,10.26,-,-,-,-,The number of patient episodes for this measure is too small to report.,118,143,82.52,85.99,78.84,90.56,Better Than National Rate,-,2,72,2.78,3.98,2.80,5.37,Same As National Rate,-,4,60,6.67,9.19,4.98,15.69,Same As National Rate,-,0.96,-,205,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,109013,"WORLD FIRST CLASS HOME HEALTH, INC",3475 SHERIDAN ST STE 315,HOLLYWOOD,33021,9549873406,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/30/2008,1.5,-,54,70,77.14,-,16,49,32.65,-,17,45,64.39,-,16,44,59.49,-,21,45,60.88,-,12,20,75.05,-,15,32,72.97,-,0,45,0.00,-,57,70,81.43,-,0,70,0.00,-,22,45,48.89,-,24,31,77.42,-,29,39,74.36,-,-,10,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,8,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,7,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,109386,ALPHA HOMECARE & THERAPY AGENCY LLC,401 N WICKHAM RD STE O,MELBOURNE,32935,-,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,09/18/2009,2.5,-,51,65,78.46,-,17,38,44.74,-,32,46,83.54,-,36,46,86.20,-,36,46,88.86,-,33,43,83.36,-,23,44,71.88,-,0,50,0.00,-,58,66,87.88,-,0,66,0.00,-,26,46,56.52,-,13,27,48.15,-,32,39,82.05,-,62,81,76.54,85.15,74.78,92.53,Same As National Rate,-,2,34,5.88,4.22,2.98,6.25,Same As National Rate,-,3,46,6.52,8.72,5.21,14.40,Same As National Rate,-,0.93,-,117,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,109433,INDEPENDENCE HOME HEALTH OF SOUTH FLORIDA,451 SE RIVERSIDE DR,STUART,34994,7724198892,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/08/2009,2,-,20,42,47.62,-,22,33,66.67,-,15,39,48.92,-,21,39,63.93,-,23,39,64.52,-,-,-,-,The number of patient episodes for this measure is too small to report.,14,32,55.96,-,0,39,0.00,-,32,42,76.19,-,1,42,2.38,-,16,39,41.03,-,-,-,-,The number of patient episodes for this measure is too small to report.,25,29,86.21,-,97,111,87.39,84.15,77.12,88.11,Same As National Rate,-,0,34,0.00,3.99,2.63,5.87,Same As National Rate,-,2,62,3.23,8.35,4.89,16.07,Same As National Rate,-,0.80,-,151,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,109466,SUNRISE HOME HEALTH & SUPPLIES OF BRADENTON,3911 GOLF PARK LOOP UNIT #101,BRADENTON,34203,8552414685,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,09/28/2009,2.5,-,70,81,86.42,-,35,51,68.63,-,39,58,90.72,-,37,58,83.97,-,51,58,92.21,-,32,56,62.51,-,18,32,75.72,-,0,60,0.00,-,62,81,76.54,-,1,81,1.23,-,30,59,50.85,-,20,36,55.56,-,40,44,90.91,-,-,15,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1.07,-,36,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,109633,ACLARIS GROUP HOME LLC,"7827 N DALE MABRY HWY, STE 103",TAMPA,33614,-,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/30/2010,1.5,-,34,48,70.83,-,7,32,21.88,-,2,26,44.52,-,3,26,40.45,-,7,27,52.92,-,-,-,-,The number of patient episodes for this measure is too small to report.,4,24,57.87,-,0,31,0.00,-,27,48,56.25,-,0,48,0.00,-,7,27,25.93,-,36,39,92.31,-,-,-,-,The number of patient episodes for this measure is too small to report.,74,98,75.51,80.99,70.45,88.53,Same As National Rate,-,-,18,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,4,36,11.11,11.68,6.78,19.74,Same As National Rate,-,1.05,-,226,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,109798,UNIQUE MED HOME HEALTH CARE SERVICES INC,1750 N FLORIDA MANGO RD STE 102A,WEST PALM BEACH,33409,5614787035,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/16/2012,1,-,28,34,82.35,-,-,-,-,The number of patient episodes for this measure is too small to report.,5,25,41.75,-,2,25,34.47,-,13,24,69.93,-,5,20,36.28,-,3,24,16.79,-,0,25,0.00,-,29,34,85.29,-,0,34,0.00,-,5,25,20.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,18,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,16,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,15,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,687047,BLOOMING GARDENS OF CARE INC,13688 W HILLSBOROUGH AVE,TAMPA,33635,8135636182,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/09/2020,1.5,-,37,42,88.10,-,-,-,-,The number of patient episodes for this measure is too small to report.,6,25,46.91,-,6,23,55.33,-,4,26,36.19,-,-,-,-,The number of patient episodes for this measure is too small to report.,4,25,45.18,-,0,31,0.00,-,20,42,47.62,-,0,42,0.00,-,7,27,25.93,-,19,24,79.17,-,-,-,-,The number of patient episodes for this measure is too small to report.,61,71,85.92,89.36,78.64,95.02,Better Than National Rate,-,-,14,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,2,33,6.06,9.66,5.23,16.54,Same As National Rate,-,1.03,-,124,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,687164,VIDA HOME HEALTH SERVICES LLC,6001 NW 153RD ST STE 140,MIAMI LAKES,33014,7865425164,-,-,-,-,-,-,-,03/21/2022,2,-,73,86,84.88,-,16,48,33.33,-,22,46,68.62,-,22,46,64.47,-,22,47,67.20,-,23,42,65.17,-,19,46,82.08,-,0,57,0.00,-,44,86,51.16,-,2,86,2.33,-,6,47,12.77,-,15,41,36.59,-,15,40,37.50,-,-,15,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,15,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.94,-,40,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,687257,INTERIM HEALTHCARE OF DORAL,"7300 BISCAYNE BLVD, STE 200",MIAMI,33138,3056979697,-,-,-,-,-,-,-,06/20/2023,1,-,57,79,72.15,-,12,53,22.64,-,18,53,45.06,-,15,53,36.41,-,24,55,48.15,-,4,20,31.64,-,15,40,47.23,-,0,59,0.00,-,57,80,71.25,-,0,80,0.00,-,19,58,32.76,-,27,27,100.00,-,50,53,94.34,-,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,12,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.87,-,20,170,Low CMS star rating; Timely care performance gap; Quality performance concern
FL,687301,MOTHER MARIA HOME HEALTH CARE INC,2719 HOLLYWOOD BLVD PMB 27,HOLLYWOOD,33020,9548420432,-,-,-,-,-,-,-,01/23/2024,1,-,45,52,86.54,-,14,46,30.43,-,9,32,59.56,-,15,32,62.16,-,10,32,53.61,-,13,30,49.75,-,6,32,53.06,-,0,32,0.00,-,41,52,78.85,-,1,52,1.92,-,8,32,25.00,-,25,28,89.29,-,23,24,95.83,-,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,7,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IA,167109,WASHINGTON CO. PUBLIC HEALTH,2175 LEXINGTON BLVD BUILDING #2,WASHINGTON,52353,3196537758,GOVERNMENT OPERATED,Yes,Yes,No,No,No,Yes,06/06/1979,1.5,-,55,62,88.71,-,28,44,63.64,-,6,25,53.19,-,4,24,36.26,-,17,27,82.43,-,6,21,48.41,-,7,22,55.42,-,0,37,0.00,-,14,62,22.58,-,3,51,5.88,-,24,33,72.73,-,15,29,51.72,-,23,33,69.70,-,23,30,76.67,78.04,63.07,89.45,Same As National Rate,-,-,14,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,19,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.92,-,84,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IA,167165,HORN MEMORIAL HOSPITAL H H A,700 EAST SECOND STREET-PHYSICAL LOCATION,IDA GROVE,51445,7123647311,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,07/18/1985,2,-,62,70,88.57,-,29,39,74.36,-,19,51,61.79,-,20,32,86.32,-,36,51,80.64,-,14,23,79.83,-,10,27,57.44,-,1,59,2.09,-,44,70,62.86,-,0,65,0.00,-,43,57,75.44,-,-,-,-,The number of patient episodes for this measure is too small to report.,54,54,100.00,-,54,70,77.14,82.28,71.21,90.04,Same As National Rate,-,3,45,6.67,4.36,2.96,5.94,Same As National Rate,-,4,40,10.00,10.64,5.69,17.11,Same As National Rate,-,1.00,-,74,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,147736,"WE CARE HOME HEALTH, INC","2446 W DEVON AVE, STE B",CHICAGO,60659,6303803599,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/03/2003,1,-,23,33,69.70,-,10,40,25.00,-,7,32,40.61,-,4,32,32.97,-,8,32,31.76,-,15,32,48.37,-,8,30,41.49,-,0,33,0.00,-,30,42,71.43,-,0,36,0.00,-,3,32,9.38,-,-,-,-,The number of patient episodes for this measure is too small to report.,15,27,55.56,-,-,17,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,18,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.81,-,31,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,147829,"HORIZON HOME HEALTH CARE, INC","540 W. 35TH STREET, STE 102",CHICAGO,60616,3122257706,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,09/27/2005,2.5,-,44,54,81.48,-,14,47,29.79,-,20,34,81.37,-,20,33,80.24,-,24,34,80.88,-,20,24,94.98,-,12,30,69.75,-,0,34,0.00,-,48,55,87.27,-,0,55,0.00,-,14,34,41.18,-,21,27,77.78,-,23,27,85.19,-,24,55,43.64,50.29,37.76,63.13,Worse Than National Rate,-,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,3,22,13.64,11.62,6.93,19.96,Same As National Rate,-,0.90,-,213,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148035,"COMMUNITY HOME HEALTH CARE, INC","109 FAIRFIELD WAY, STE 101",BLOOMINGDALE,60108,6305450183,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/05/2009,1,-,23,28,82.14,-,0,25,0.00,-,6,24,54.92,-,8,24,48.42,-,6,24,48.95,-,-,-,-,The number of patient episodes for this measure is too small to report.,8,23,58.87,-,0,24,0.00,-,6,28,21.43,-,0,26,0.00,-,2,24,8.33,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,31,37,83.78,84.46,71.25,93.58,Same As National Rate,-,-,12,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.68,-,71,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148103,"VIRGOS HOME HEALTH CARE, INC","8930 GROSS POINT ROAD, STE LL100",SKOKIE,60077,8479658914,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/23/2009,2.5,-,26,29,89.66,-,9,28,32.14,-,12,21,80.09,-,14,21,80.68,-,15,21,77.84,-,16,21,82.54,-,12,21,76.40,-,0,22,0.00,-,26,29,89.66,-,0,29,0.00,-,14,21,66.67,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,25,41,60.98,63.46,50.87,74.61,Worse Than National Rate,-,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,18,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.93,-,171,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148126,REYA AT HOME,"101 MADISON ST, STE 300",OAK PARK,60302,8472787580,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,No,03/30/2010,1.5,-,47,70,67.14,-,34,61,55.74,-,20,40,76.72,-,11,39,52.76,-,15,40,58.81,-,-,-,-,The number of patient episodes for this measure is too small to report.,11,29,70.43,-,0,46,0.00,-,51,72,70.83,-,0,71,0.00,-,18,47,38.30,-,8,30,26.67,-,26,42,61.90,-,37,53,69.81,71.63,58.28,81.35,Same As National Rate,-,-,7,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,11,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.98,-,140,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148228,"PHYSICIANS PREFERRED HOME HEALTH CARE, INC",7670 PLAZA COURT,WILLOWBROOK,60527,3125003895,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,01/17/2011,2,-,30,40,75.00,-,8,32,25.00,-,21,31,85.57,-,20,28,81.26,-,23,30,89.76,-,-,-,-,The number of patient episodes for this measure is too small to report.,10,21,65.26,-,0,34,0.00,-,40,65,61.54,-,1,65,1.54,-,25,33,75.76,-,14,36,38.89,-,19,28,67.86,-,8,25,32.00,45.77,27.86,64.63,Worse Than National Rate,-,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,19,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1.09,-,52,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148238,"DISTINCT HOME HEALTH CARE, LLC",1328 MAIN STREET,CRETE,60417,7085644946,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/14/2011,1.5,-,70,78,89.74,-,34,55,61.82,-,22,49,49.09,-,18,49,41.30,-,28,49,66.85,-,22,46,50.47,-,26,47,61.23,-,0,51,0.00,-,66,78,84.62,-,0,78,0.00,-,8,49,16.33,-,47,49,95.92,-,22,28,78.57,-,38,90,42.22,49.98,39.33,61.02,Worse Than National Rate,-,-,16,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,6,56,10.71,10.40,6.52,16.91,Same As National Rate,-,0.99,-,151,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148276,"ANGEL'S CARE HOME HEALTH SERVICES, INC",5418 N KEDZIE AVENUE,CHICAGO,60625,7737298078,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/03/2011,1.5,-,51,63,80.95,-,13,58,22.41,-,20,41,72.46,-,11,40,53.19,-,16,38,66.38,-,20,30,83.23,-,19,35,81.35,-,0,44,0.00,-,39,63,61.90,-,0,63,0.00,-,21,43,48.84,-,14,25,56.00,-,25,37,67.57,-,37,50,74.00,76.93,63.35,85.72,Same As National Rate,-,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,5,22,22.73,16.17,7.56,29.24,Same As National Rate,-,0.75,-,295,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148323,VICTORIOUS HOME HEALTH AGENCY,21032 80TH AVENUE,FRANKFORT,60423,8154649201,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/19/2012,2.5,-,25,35,71.43,-,23,28,82.14,-,24,28,98.19,-,25,28,86.39,-,23,28,87.62,-,12,25,55.53,-,12,28,45.93,-,0,28,0.00,-,23,35,65.71,-,0,35,0.00,-,7,28,25.00,-,16,20,80.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,18,24,75.00,77.17,57.19,88.71,Same As National Rate,-,-,8,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,12,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.67,-,139,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IL,148404,"ADVANCED NURSING CARE, INC",503 S. WEBER RD.,BOLINGBROOK,60490,6304179417,-,-,-,-,-,-,-,05/18/2023,1,-,32,41,78.05,-,0,35,0.00,-,11,32,50.84,-,8,32,31.38,-,8,32,30.80,-,10,31,49.93,-,9,26,57.62,-,0,32,0.00,-,13,41,31.71,-,0,41,0.00,-,5,32,15.63,-,9,22,40.91,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.59,-,23,170,Low CMS star rating; Timely care performance gap; Quality performance concern
IN,157694,LASIK HOME HEALTH CARE INC,9723 S PRAIRIE AVENUE,HIGHLAND,46322,2195138201,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,08/16/2017,1,-,15,39,38.46,-,5,33,15.15,-,2,21,37.67,-,5,21,51.28,-,6,21,48.79,-,7,21,43.28,-,-,-,-,The number of patient episodes for this measure is too small to report.,0,23,0.00,-,29,42,69.05,-,0,38,0.00,-,7,23,30.43,-,13,26,50.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,14,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1.06,-,26,170,Low CMS star rating; Timely care performance gap; Quality performance concern
